LL XC,HL XC,HL Atoms,Post-HF Method,Basis,OH-H Distance,Total DFT Energy (A-in-B),AB LL Energy,A HL Energy,A LL Energy,PB Correction,AB_LL Time,A_LL Time,A_HL Time
PBE,PBE,4,N/A,NAO-VCC-3Z,4.062030686488679,-14854.759251246578,-14854.759251246578,-4068.7034480577368,-4068.703448057737,3.0588339423875956e-14,23.219706058502197,3.3526620864868164,4.122175216674805
PBE,PBE,4,N/A,NAO-VCC-3Z,4.362030686488679,-14854.751793357573,-14854.751793357565,-4068.7880902650622,-4068.788090265055,-3.700811436468943e-14,23.2121741771698,3.295164108276367,4.083070755004883
PBE,PBE,4,N/A,NAO-VCC-3Z,4.162030686488679,-14854.756476765682,-14854.756476765684,-4068.734283133379,-4068.7342831333785,-1.2839549881626945e-14,23.18527603149414,3.352492570877075,4.121397256851196
PBE,PBE,4,N/A,NAO-VCC-3Z,4.2620306864886786,-14854.754003516444,-14854.75400351643,-4068.758921133429,-4068.7589211334166,-9.818479321244133e-15,23.182213306427002,3.3549158573150635,4.1199047565460205
PBE,PBE,4,N/A,NAO-VCC-3Z,3.662030686488679,-14854.77415256699,-14854.774152566997,-4068.5998053537114,-4068.5998053537187,2.643436740334959e-15,23.18644142150879,3.362938642501831,4.192083120346069
PBE,PBE,4,N/A,NAO-VCC-3Z,3.762030686488679,-14854.769757093347,-14854.769757093345,-4068.610171955602,-4068.6101719556004,4.682659368593356e-14,23.21550989151001,3.4069406986236572,4.210256576538086
PBE,PBE,4,N/A,NAO-VCC-3Z,3.5620306864886793,-14854.779094564785,-14854.779094564781,-4068.554894476682,-4068.5548944766783,5.022529806636422e-14,23.226828813552856,3.360316276550293,4.197600364685059
PBE,PBE,4,N/A,NAO-VCC-3Z,3.86203068648868,-14854.765839334385,-14854.765839334386,-4068.6427162971804,-4068.642716297182,-5.6645073007177695e-15,23.239885330200195,3.4387869834899902,4.164769411087036
PBE,PBE,4,N/A,NAO-VCC-3Z,3.962030686488679,-14854.762355496416,-14854.76235549641,-4068.673435397771,-4068.6734353977663,-1.5860620442009756e-14,23.20873999595642,3.405132293701172,4.2064268589019775
PBE,PBE,4,N/A,NAO-VCC-3Z,3.4620306864886787,-14854.784650933732,-14854.784650933741,-4068.5212750685705,-4068.5212750685787,-6.533065086827828e-14,23.212737798690796,3.4376380443573,4.228775262832642
PBE,PBE,4,N/A,NAO-VCC-3Z,3.362030686488679,-14854.790890120095,-14854.790890120106,-4068.501351702615,-4068.5013517026237,-1.661588808210546e-14,23.440792560577393,3.350857734680176,4.310549020767212
PBE,PBE,4,N/A,NAO-VCC-3Z,3.2620306864886794,-14854.797898290337,-14854.797898290337,-4068.4757055441924,-4068.4757055441914,2.87001703236367e-14,23.672012090682983,3.416002035140991,4.430166721343994
PBE,PBE,4,N/A,NAO-VCC-3Z,3.162030686488679,-14854.805760197387,-14854.805760197392,-4068.4371658133387,-4068.4371658133446,-2.1902761562775375e-14,23.790911436080933,3.5801284313201904,4.308332204818726
