Frag Name,Trunc,LL XC,HL XC,HL Atoms,Post-HF Method,Basis,Untrunc Nbasis,Trunc Nbasis,Untrunc Natoms,Trunc Natoms,Total DFT Energy (A-in-B),AB LL Energy,A HL Energy,A LL Energy,PB Correction,AB_LL Time,A_LL Time,A_HL Time
Acid Dimer,0.1,PBE,PBE,8,N/A,intermediate,70,10,810,180,-31712.851609514208,-31720.345425614494,-10228.248752621588,-10234.822576249138,0,32.019213914871216,0.6735444068908691,4.065139055252075
Acid Dimer,1.0,PBE,PBE,8,N/A,intermediate,70,8,810,138,-31705.53659634324,-31720.345425614494,-10283.616455321244,-10294.617192918176,0,32.17207932472229,0.527148962020874,5.074437856674194
Acid Dimer,0.01,PBE,PBE,8,N/A,intermediate,70,17,810,252,-31720.033717633523,-31720.345425614494,-10224.39765008906,-10224.695459679648,0,32.16246175765991,1.0536668300628662,4.725888967514038
Acid Dimer,0.0001,PBE,PBE,8,N/A,intermediate,70,25,810,345,-31720.34398935751,-31720.345425614494,-10223.833948468984,-10223.835875067929,0,27.354191064834595,1.4569191932678223,3.983114004135132
Acid Dimer,0.001,PBE,PBE,8,N/A,intermediate,70,21,810,291,-31720.337442171436,-31720.345425614494,-10223.906456844143,-10223.88841312983,0,27.502676486968994,1.3703761100769043,4.331347227096558
Acid Dimer,1e-05,PBE,PBE,8,N/A,intermediate,70,30,810,390,-31720.345100955357,-31720.345425614494,-10223.831024421748,-10223.830950748988,0,27.122596502304077,1.7358717918395996,4.02337384223938
Acid Dimer,1e-06,PBE,PBE,8,N/A,intermediate,70,35,810,450,-31720.345395179742,-31720.345425614494,-10223.830973892656,-10223.830997827386,0,27.444833755493164,2.143709659576416,3.330279588699341
Acid Dimer,1.0,PBE,PBE0,8,N/A,intermediate,70,8,810,138,-31705.11179897004,-31720.345425614494,-10282.903475711477,-10294.617192918176,0,27.537646532058716,0.5225768089294434,8.462598323822021
Acid Dimer,0.1,PBE,PBE0,8,N/A,intermediate,70,10,810,180,-31712.554004862097,-31720.345425614494,-10229.006082239677,-10234.822576249138,0,27.27930784225464,0.6508381366729736,9.50466513633728
Acid Dimer,0.01,PBE,PBE0,8,N/A,intermediate,70,17,810,252,-31719.783165896024,-31720.345425614494,-10225.657987199207,-10224.695459679648,0,27.21107769012451,0.9918591976165771,13.485097646713257
