Frag Name,Trunc,LL XC,HL XC,HL Atoms,Post-HF Method,Basis,Untrunc Nbasis,Trunc Nbasis,Untrunc Natoms,Trunc Natoms,Total DFT Energy (A-in-B),AB LL Energy,A HL Energy,A LL Energy,PB Correction,AB_LL Time,A_LL Time,A_HL Time
Acid Dimer,N/A,PBE,PBE,8,N/A,intermediate,70,70,810,810,-31720.345425614494,-31720.345425614494,-10223.83094734851,-10223.83094734851,0,27.461730241775513,4.717000484466553,6.095659255981445
Acid Dimer,N/A,PBE,PBE0,8,N/A,intermediate,70,70,810,810,-31719.65419231735,-31720.345425614494,-10225.014749345126,-10223.83094734851,0,27.38632321357727,4.714357376098633,49.665151596069336
Acid Dimer,1.0,PBE,PBE,8,RPA,intermediate,70,8,810,138,-31277.534291849726,-31720.345425614494,-9836.537675664604,-10294.617192918176,0,27.2365083694458,0.5214741230010986,15.101740598678589
Acid Dimer,0.01,PBE,PBE,8,RPA,intermediate,70,17,810,252,-30394.73600391795,-31720.345425614494,-8774.33751470531,-10224.695459679648,0,27.15416717529297,0.9963841438293457,26.947939157485962
Acid Dimer,0.1,PBE,PBE,8,RPA,intermediate,70,10,810,180,-30996.638764804135,-31720.345425614494,-9555.990499876385,-10234.822576249138,0,27.498628854751587,0.7157585620880127,16.473952531814575
Acid Dimer,N/A,PBE,PBE,8,RPA,intermediate,70,70,810,810,-31719.54275484549,-31720.345425614494,-10223.028276579507,-10223.83094734851,0,31.924753189086914,4.732560873031616,334.56768774986267
Acid Dimer,0.001,PBE,PBE,8,RPA,intermediate,70,21,810,291,-29810.898730153705,-31720.345425614494,-8041.803999388678,-10223.88841312983,0,27.421281814575195,1.2196063995361328,29.729546070098877
Acid Dimer,0.0001,PBE,PBE,8,RPA,intermediate,70,25,810,345,-28007.344104955133,-31720.345425614494,-5597.2773756111055,-10223.835875067929,0,27.18503499031067,1.4445116519927979,48.3350727558136
Acid Dimer,1e-05,PBE,PBE,8,RPA,intermediate,70,30,810,390,-26461.47562285595,-31720.345425614494,-3844.6907028592177,-10223.830950748988,0,27.600533723831177,1.7262187004089355,63.954769134521484
Acid Dimer,1.0,PBE,PBE,8,N/A,intermediate,70,8,810,138,-31320.31270779984,-31720.345425614494,-9879.316068288692,-10294.617192918176,0,27.3038387298584,0.5251314640045166,12.788154363632202
Acid Dimer,0.1,PBE,PBE,8,N/A,intermediate,70,10,810,180,-31052.619810236563,-31720.345425614494,-9611.971545372679,-10234.822576249138,0,27.49973440170288,0.6545741558074951,8.954421281814575
Acid Dimer,0.01,PBE,PBE,8,N/A,intermediate,70,17,810,252,-30433.061940256895,-31720.345425614494,-8812.663451044253,-10224.695459679648,0,27.295430421829224,0.9922635555267334,10.747936964035034
Acid Dimer,1e-06,PBE,PBE,8,RPA,intermediate,70,35,810,450,-25183.966577609845,-31720.345425614494,-1910.0484596365059,-10223.830997827386,0,27.66422939300537,2.170966148376465,72.85121178627014
Acid Dimer,0.001,PBE,PBE,8,N/A,intermediate,70,21,810,291,-29842.226856527708,-31720.345425614494,-8073.13212576268,-10223.88841312983,0,27.45205044746399,1.2267544269561768,8.633339405059814
Acid Dimer,0.0001,PBE,PBE,8,N/A,intermediate,70,25,810,345,-28096.088605236484,-31720.345425614494,-5686.021875892409,-10223.835875067929,0,27.295512676239014,1.4526777267456055,16.670870304107666
Acid Dimer,1e-05,PBE,PBE,8,N/A,intermediate,70,30,810,390,-26567.943182841373,-31720.345425614494,-3951.158262844493,-10223.830950748988,0,27.35744047164917,1.7126002311706543,22.075746536254883
Acid Dimer,1.0,PBE,PBE0,8,N/A,intermediate,70,8,810,138,-31315.038490830677,-31720.345425614494,-9874.452754840044,-10294.617192918176,0,27.51912498474121,0.5266156196594238,6.651190519332886
Acid Dimer,1e-06,PBE,PBE,8,N/A,intermediate,70,35,810,450,-25214.350599429847,-31720.345425614494,-1940.4324814564657,-10223.830997827386,0,27.468452215194702,2.154109477996826,11.871053218841553
Acid Dimer,0.1,PBE,PBE0,8,N/A,intermediate,70,10,810,180,-31047.271228215974,-31720.345425614494,-9607.771567825348,-10234.822576249138,0,27.32180380821228,0.6502974033355713,10.181455850601196
Acid Dimer,0.01,PBE,PBE0,8,N/A,intermediate,70,17,810,252,-30431.822823298116,-31720.345425614494,-8812.714837358359,-10224.695459679648,0,27.6622314453125,0.99997878074646,20.43846035003662
Acid Dimer,0.001,PBE,PBE0,8,N/A,intermediate,70,21,810,291,-29838.484274510676,-31720.345425614494,-8070.26649637912,-10223.88841312983,0,27.307177782058716,1.2190332412719727,34.63857555389404
Acid Dimer,0.0001,PBE,PBE0,8,N/A,intermediate,70,25,810,345,-28084.77211205112,-31720.345425614494,-5677.002410972434,-10223.835875067929,0,27.09209942817688,1.4485015869140625,34.59328842163086
Acid Dimer,1e-05,PBE,PBE0,8,N/A,intermediate,70,30,810,390,-26540.431799425223,-31720.345425614494,-3925.521215239425,-10223.830950748988,0,27.487672567367554,1.7308602333068848,65.59575843811035
Acid Dimer,1e-06,PBE,PBE0,8,N/A,intermediate,70,35,810,450,-25212.476018867575,-31720.345425614494,-1940.8834833413512,-10223.830997827386,0,27.465023040771484,2.1506168842315674,47.74911618232727
C19COOH,1.0,PBE,PBE0,4,N/A,intermediate,62,4,702,69,-491186.3235731171,-25483.774492628414,-480073.68272955285,-2800.9824009883414,0,23.515506505966187,0.3788642883300781,3.085249900817871
C19COOH,0.1,PBE,PBE0,4,N/A,intermediate,62,5,702,90,-7152.387051191909,-25483.774492628414,21583.08488692151,-2505.9774976832114,0,23.237741708755493,0.4049527645111084,3.2527832984924316
C19COOH,0.001,PBE,PBE0,4,N/A,intermediate,62,13,702,183,-24642.582642212652,-25483.774492628414,-4068.3576669438894,-5111.623556426217,0,23.219053506851196,0.7262871265411377,10.00898814201355
C19COOH,0.01,PBE,PBE0,4,N/A,intermediate,62,9,702,144,-25009.716710689903,-25483.774492628414,-4556.1975164279,-5112.306123891412,0,23.534031867980957,0.5608537197113037,7.16692852973938
C19COOH,0.0001,PBE,PBE0,4,N/A,intermediate,62,17,702,237,-23644.095451282217,-25483.774492628414,-2748.2071157508676,-5111.570117689213,0,23.273218870162964,0.967341423034668,29.394683599472046
C19COOH,1e-05,PBE,PBE0,4,N/A,intermediate,62,23,702,288,-22540.380522237025,-25483.774492628414,-986.1797627538547,-5111.566352661346,0,23.43746066093445,1.2986969947814941,17.971182823181152
C19COOH,0.1,PBE,PBE,4,N/A,intermediate,62,5,702,90,-6304.243485133636,-25483.774492628414,20053.349288293837,-2505.750770438007,0,23.40801167488098,0.4130735397338867,1.7198872566223145
C19COOH,1.0,PBE,PBE,4,N/A,intermediate,62,4,702,69,-531522.1746523037,-25483.774492628414,-520160.0399224185,-2801.4592204725523,0,27.811352491378784,0.37523436546325684,5.896963357925415
C19COOH,0.01,PBE,PBE,4,N/A,intermediate,62,9,702,144,-25013.405445028522,-25483.774492628414,-4558.84364606471,-5112.306123891412,0,23.629120111465454,0.5636110305786133,2.9304800033569336
C19COOH,0.001,PBE,PBE,4,N/A,intermediate,62,13,702,183,-24645.917603921614,-25483.774492628414,-4070.777195315787,-5111.623556426217,0,23.375293493270874,0.7306442260742188,6.936022043228149
C19COOH,1e-05,PBE,PBE,4,N/A,intermediate,62,23,702,288,-22551.714916285633,-25483.774492628414,-994.4690449435675,-5111.566352661346,0,23.238515853881836,1.3022937774658203,6.43457818031311
C19COOH,0.0001,PBE,PBE,4,N/A,intermediate,62,17,702,237,-23646.681383556268,-25483.774492628414,-2746.984492361521,-5111.570117689213,0,23.281115293502808,0.9655332565307617,16.766978979110718
C19COOH,1.0,PBE,PBE,4,RPA,intermediate,62,4,702,69,nan,-25483.774492628414,nan,-2802.267306659842,0,23.381874561309814,0.37350893020629883,7.829287052154541
C19COOH,0.1,PBE,PBE,4,RPA,intermediate,62,5,702,90,nan,-25483.774492628414,nan,-2509.370653819429,0,27.332606315612793,0.4063084125518799,3.885921001434326
C19COOH,0.01,PBE,PBE,4,RPA,intermediate,62,9,702,144,-24990.755451403522,-25483.774492628414,-4536.193652439711,-5112.306123891412,0,23.518705129623413,0.5526418685913086,7.622586965560913
