LL XC,HL XC,HL Atoms,Post-HF Method,Basis,OH-H Distance,Total DFT Energy (A-in-B),AB LL Energy,A HL Energy,A LL Energy,PB Correction,AB_LL Time,A_LL Time,A_HL Time
PBE,PBE0,4,N/A,NAO-VCC-3Z,0.0,-7427.255620435845,-7427.375803921118,-2036.5470786849303,-2035.8399947808234,0.10059626588151095,13.883233308792114,1.6172270774841309,13.288727045059204
PBE,PBE0,4,N/A,NAO-VCC-4Z,0.0,-7427.305788110296,-7427.429117033452,-2036.5823241843846,-2035.906338901133,0.10063146040703555,23.461763620376587,3.4171881675720215,60.88036060333252
PBE,PBE0,4,N/A,NAO-VCC-5Z,0.0,-7427.317742519984,-7427.442286874689,-2036.604824757062,-2035.9409623473503,0.10025855567864608,56.67568612098694,9.644234895706177,300.34171199798584
PBE,PBE0,10,N/A,NAO-VCC-5Z,2.7620306864886794,-14855.119394471792,-14854.974053599739,-6191.493217422549,-6190.0511507963265,0.1567165426221031,139.37356185913086,25.133486032485962,1352.3117179870605
PBE,PBE0,10,N/A,NAO-VCC-5Z,2.6620306864886794,-14855.13165172196,-14854.98706575077,-6191.4685027315845,-6190.0273438572685,0.15690365061297973,139.01832032203674,25.131674766540527,1365.2715280056
PBE,PBE0,10,N/A,NAO-VCC-5Z,2.362030686488679,-14855.176739294036,-14855.032957141519,-6191.376688887032,-6189.936743942722,0.15686570607624437,138.53822350502014,24.798621654510498,1374.8149106502533
PBE,PBE0,10,N/A,NAO-VCC-5Z,2.5620306864886793,-14855.14578148946,-14855.001317083475,-6191.436152132713,-6189.995157760599,0.1567798138651929,141.82425260543823,25.521372318267822,1371.8785429000854
PBE,PBE0,10,N/A,NAO-VCC-5Z,2.462030686488679,-14855.160860743965,-14855.016702429308,-6191.410370412669,-6189.970091561885,0.15682722852015948,138.45889973640442,24.865028858184814,1382.294661283493
PBE,PBE0,10,N/A,NAO-VCC-5Z,2.262030686488679,-14855.193278071381,-14855.049552264554,-6191.34368553215,-6189.903869043954,0.15685930553992988,140.33065271377563,25.26013731956482,1383.3841960430145
PBE,PBE0,10,N/A,NAO-VCC-5Z,2.0620306864886793,-14855.222723448353,-14855.078688345608,-6191.262764370392,-6189.821916571106,0.1570835395521641,136.08150672912598,25.710535049438477,1389.40593791008
PBE,PBE0,10,N/A,NAO-VCC-5Z,2.16203068648868,-14855.208372037612,-14855.064678892346,-6191.3047302203395,-6189.864455422526,0.1570826025226126,142.60415816307068,25.626577854156494,1385.646471977234
PBE,PBE0,10,N/A,NAO-VCC-5Z,1.9620306864886794,-14855.23277424503,-14855.088296966356,-6191.209778523986,-6189.768050703976,0.1572503139479798,145.14503145217896,25.816497325897217,1398.2745251655579
PBE,PBE0,10,N/A,NAO-VCC-5Z,1.8620306864886793,-14855.235452840605,-14855.08987277085,-6191.141111060315,-6189.697508339088,0.15730676668650817,147.0401270389557,26.103511571884155,1414.329520702362
PBE,PBE0,10,N/A,NAO-VCC-5Z,1.7620306864886794,-14855.225008857775,-14855.07790442406,-6191.059082195341,-6189.61297892069,0.15751330313484754,148.58269000053406,26.43676733970642,1423.7747910022736
PBE,PBE0,10,N/A,NAO-VCC-5Z,1.6620306864886796,-14855.193438166374,-14855.044112955009,-6190.946248183622,-6189.49688982769,0.15761373945121374,150.8322515487671,26.77387237548828,1436.9204497337341
PBE,PBE0,10,N/A,NAO-VCC-5Z,1.5620306864886795,-14855.128417560562,-14854.976178828962,-6190.798921412576,-6189.345367498356,0.1579089272505918,155.5049729347229,27.49316668510437,1437.530438899994
PBE,PBE0,10,N/A,NAO-VCC-5Z,1.4620306864886796,-14855.012240655718,-14854.855799676334,-6190.585297009414,-6189.125250715313,0.15817028780751435,157.18471670150757,27.70771050453186,1461.2342660427094
PBE,PBE0,10,N/A,NAO-VCC-5Z,1.3620306864886795,-14854.817735998038,-14854.655645897381,-6190.295038352111,-6188.827435602963,0.1585287315179553,161.28351259231567,28.380987882614136,1494.021045923233
PBE,PBE0,10,N/A,NAO-VCC-5Z,1.2620306864886794,-14854.502195461973,-14854.33262842925,-6189.855988448334,-6188.376545826487,0.158930384627446,160.8488187789917,28.28697395324707,1504.420338153839
PBE,PBE0,4,N/A,NAO-VCC-5Z,2.7620306864886794,-14854.728312905108,-14854.974053599748,-4069.750262416812,-4068.470204196333,0.2042779681991923,139.57522630691528,24.98308777809143,1268.5113956928253
