LL XC,HL XC,HL Atoms,Post-HF Method,Basis,OH-H Distance,Total DFT Energy,Total Time
PBE,PBE0,36,N/A,NAO-VCC-3Z,4.362030686488679,-14854.75179335756,20.4125235080719
PBE,PBE0,36,N/A,NAO-VCC-3Z,4.062030686488679,-14854.759251246553,20.40737295150757
PBE,PBE0,36,N/A,NAO-VCC-3Z,4.162030686488679,-14854.756476765684,20.42718005180359
PBE,PBE0,36,N/A,NAO-VCC-3Z,4.2620306864886786,-14854.75400351642,20.42482566833496
PBE,PBE0,36,N/A,NAO-VCC-3Z,3.86203068648868,-14854.765839334399,20.478097915649414
PBE,PBE0,36,N/A,NAO-VCC-3Z,3.962030686488679,-14854.762355496425,20.575406551361084
PBE,PBE0,36,N/A,NAO-VCC-3Z,3.662030686488679,-14854.774152566997,20.617037773132324
PBE,PBE0,36,N/A,NAO-VCC-3Z,3.762030686488679,-14854.769757093358,20.6870379447937
PBE,PBE0,36,N/A,NAO-VCC-3Z,3.5620306864886793,-14854.779094564778,20.76004958152771
PBE,PBE0,36,N/A,NAO-VCC-3Z,3.4620306864886787,-14854.784650933745,20.937891960144043
PBE,PBE0,36,N/A,NAO-VCC-3Z,3.362030686488679,-14854.790890120115,21.023460865020752
PBE,PBE0,36,N/A,NAO-VCC-3Z,3.2620306864886794,-14854.797898290331,21.13018250465393
PBE,PBE0,36,N/A,NAO-VCC-3Z,2.9620306864886796,-14854.824427610898,21.374960899353027
PBE,PBE0,36,N/A,NAO-VCC-3Z,3.162030686488679,-14854.805760197392,21.388999223709106
PBE,PBE0,36,N/A,NAO-VCC-3Z,3.0620306864886793,-14854.814571479872,21.473567962646484
PBE,PBE0,36,N/A,NAO-VCC-3Z,2.7620306864886794,-14854.8476168859,21.840544939041138
PBE,PBE0,36,N/A,NAO-VCC-3Z,2.6620306864886794,-14854.861071883679,21.899803400039673
PBE,PBE0,36,N/A,NAO-VCC-3Z,2.862030686488679,-14854.835416581896,21.93563437461853
PBE,PBE0,36,N/A,NAO-VCC-3Z,1.9620306864886794,-14854.96586987797,21.995683193206787
PBE,PBE0,36,N/A,NAO-VCC-3Z,2.5620306864886793,-14854.875765619889,22.171152114868164
PBE,PBE0,36,N/A,NAO-VCC-3Z,2.362030686488679,-14854.908261792762,22.445926904678345
PBE,PBE0,36,N/A,NAO-VCC-3Z,2.262030686488679,-14854.925255445054,22.511106491088867
PBE,PBE0,36,N/A,NAO-VCC-3Z,2.462030686488679,-14854.891586239559,22.50711750984192
PBE,PBE0,36,N/A,NAO-VCC-3Z,2.16203068648868,-14854.941659998285,22.778892755508423
PBE,PBE0,36,N/A,NAO-VCC-3Z,2.0620306864886793,-14854.955988893795,22.983816385269165
PBE,PBE0,36,N/A,NAO-VCC-3Z,1.8620306864886793,-14854.967661511395,23.331489324569702
PBE,PBE0,36,N/A,NAO-VCC-3Z,1.7620306864886794,-14854.955846169201,23.399498462677002
PBE,PBE0,36,N/A,NAO-VCC-3Z,1.6620306864886796,-14854.92213282084,23.449032306671143
PBE,PBE0,36,N/A,NAO-VCC-3Z,1.4620306864886796,-14854.733694270119,24.078958988189697
PBE,PBE0,36,N/A,NAO-VCC-3Z,1.5620306864886795,-14854.8541874312,24.099322080612183
PBE,PBE0,36,N/A,NAO-VCC-3Z,1.3620306864886795,-14854.533362510832,24.138566493988037
PBE,PBE0,36,N/A,NAO-VCC-3Z,1.2620306864886794,-14854.212132388962,24.392248153686523
