LL XC,HL XC,HL Atoms,Post-HF Method,Basis,OH-H Distance,Total DFT Energy (A-in-B),AB LL Energy,A HL Energy,A LL Energy,PB Correction,AB_LL Time,A_LL Time,A_HL Time
PBE,PBE,4,RPA,NAO-VCC-3Z,2.6620306864886794,-14862.117632186677,-14854.861071883674,-4075.540365349938,-4068.2838050469345,-1.5105352801914053e-14,19.25579285621643,2.5610809326171875,143.86878991127014
PBE,PBE,4,RPA,NAO-VCC-3Z,2.7620306864886794,-14862.103382283898,-14854.847616885905,-4075.5677636050386,-4068.3119982070466,-4.1162086385215795e-14,19.33950710296631,2.5632708072662354,144.04184412956238
PBE,PBE,4,RPA,NAO-VCC-3Z,2.5620306864886793,-14862.133614258893,-14854.875765619894,-4075.5018690687757,-4068.2440204297764,-4.984766424631637e-14,19.2768714427948,2.599269390106201,145.4712929725647
PBE,PBE,4,RPA,NAO-VCC-3Z,2.462030686488679,-14862.149777107548,-14854.89158623955,-4075.468858945542,-4068.2106680775423,1.5105352801914052e-15,19.1890926361084,2.634718179702759,145.65201234817505
PBE,PBE,4,RPA,NAO-VCC-3Z,1.7620306864886794,-14862.214975123203,-14854.955846169209,-4074.947705739267,-4067.6885767852727,-3.0777156333899884e-14,20.36142659187317,2.681295871734619,144.54221153259277
PBE,PBE,4,RPA,NAO-VCC-3Z,1.6620306864886796,-14862.181732238842,-14854.922132820846,-4074.777715144105,-4067.51811572611,-7.552676400957026e-15,20.508061408996582,2.7035229206085205,144.42550921440125
PBE,PBE,4,RPA,NAO-VCC-3Z,2.362030686488679,-14862.166998958754,-14854.908261792742,-4075.4251218042245,-4068.1663846382135,-6.193194648784761e-14,19.463862657546997,2.543455123901367,146.21234226226807
PBE,PBE,4,RPA,NAO-VCC-3Z,1.9620306864886794,-14862.22566554296,-14854.965869877948,-4075.174732612986,-4067.9149369479746,6.306484794799117e-14,19.5250825881958,2.615349769592285,146.13934230804443
PBE,PBE,4,RPA,NAO-VCC-3Z,2.16203068648868,-14862.20131022827,-14854.941659998274,-4075.324722296653,-4068.0650720666563,-8.68557786110058e-15,19.653310537338257,2.719456911087036,146.07714700698853
PBE,PBE,4,RPA,NAO-VCC-3Z,2.262030686488679,-14862.184539159054,-14854.925255445054,-4075.3789529256946,-4068.1196692116955,7.175042580909175e-15,19.476632595062256,2.5997886657714844,146.60632872581482
PBE,PBE,4,RPA,NAO-VCC-3Z,2.0620306864886793,-14862.21552724078,-14854.955988893777,-4075.258983982253,-4067.999445635249,-1.774878954224901e-14,19.68407893180847,2.687401294708252,146.89932322502136
PBE,PBE,4,RPA,NAO-VCC-3Z,1.8620306864886793,-14862.226892412391,-14854.967661511391,-4075.078047901984,-4067.8188170009844,6.62747354183979e-14,20.01543402671814,2.6405067443847656,147.00723361968994
PBE,PBE,4,RPA,NAO-VCC-3Z,1.5620306864886795,-14862.113838420204,-14854.854187431205,-4074.5445443616854,-4067.284893372686,-1.0573746961339836e-14,20.420246839523315,2.651827335357666,146.6074640750885
PBE,PBE,4,RPA,NAO-VCC-3Z,1.2620306864886794,-14861.472468640957,-14854.212132388959,-4073.263005564103,-4066.002669312104,3.568639599452195e-14,20.73692226409912,2.8079617023468018,146.3169560432434
PBE,PBE,4,RPA,NAO-VCC-3Z,1.4620306864886796,-14861.993883244118,-14854.73369427011,-4074.2418590184334,-4066.981670044424,-3.700811436468943e-14,20.650963306427002,2.700753688812256,146.59360146522522
PBE,PBE,4,RPA,NAO-VCC-3Z,1.3620306864886795,-14861.793412049825,-14854.533362510823,-4073.8298889738035,-4066.569839434802,2.3790930663014634e-14,20.759753465652466,2.8069944381713867,146.99340534210205
PBE,PBE,4,RPA,NAO-VCC-3Z,3.86203068648868,-14862.014067842387,-14854.765839334386,-4075.89094480511,-4068.6427162971095,2.87001703236367e-14,21.275878429412842,2.5430006980895996,141.02714133262634
PBE,PBE,4,RPA,NAO-VCC-3Z,4.362030686488679,-14861.999017622551,-14854.751793357551,-4076.035314530135,-4068.788090265134,1.5860620442009756e-14,20.858739137649536,2.505657196044922,143.1208119392395
PBE,PBE,4,RPA,NAO-VCC-3Z,2.9620306864886796,-14862.076644336885,-14854.82442761089,-4075.632013847333,-4068.379797121338,-2.87001703236367e-14,21.37304186820984,2.489121198654175,143.0383803844452
PBE,PBE,4,RPA,NAO-VCC-3Z,3.5620306864886793,-14862.027372781784,-14854.779094564783,-4075.803172693755,-4068.554894476755,-2.6812001223397442e-14,20.86658215522766,2.454052448272705,143.87365007400513
PBE,PBE,4,RPA,NAO-VCC-3Z,4.162030686488679,-14862.003796705661,-14854.756476765666,-4075.98160307365,-4068.7342831336546,4.531605840574215e-15,21.09013533592224,2.489623785018921,143.90892219543457
PBE,PBE,4,RPA,NAO-VCC-3Z,3.962030686488679,-14862.00973573743,-14854.762355496434,-4075.920815638635,-4068.6734353976385,-5.286873480669918e-15,21.066874980926514,2.360511541366577,144.18506503105164
PBE,PBE,4,RPA,NAO-VCC-3Z,3.762030686488679,-14862.017136509337,-14854.769757093336,-4075.857551371566,-4068.6101719555654,1.9636958642488267e-14,20.889198780059814,2.4993302822113037,144.50227332115173
PBE,PBE,4,RPA,NAO-VCC-3Z,3.662030686488679,-14862.022484329991,-14854.774152566994,-4075.848137116497,-4068.5998053534986,-1.5105352801914053e-14,21.586299180984497,2.4375669956207275,144.22216653823853
PBE,PBE,4,RPA,NAO-VCC-3Z,4.062030686488679,-14862.006779151567,-14854.75925124657,-4075.950975963513,-4068.7034480585166,4.1917354025311495e-14,20.93976378440857,2.4690959453582764,144.93175101280212
PBE,PBE,4,RPA,NAO-VCC-3Z,2.862030686488679,-14862.089155998912,-14854.835416581911,-4075.6031638785335,-4068.349424461533,2.2658029202871076e-15,21.871160745620728,2.484466075897217,144.0326075553894
PBE,PBE,4,RPA,NAO-VCC-3Z,3.2620306864886794,-14862.04804595132,-14854.797898290315,-4075.725853205401,-4068.475705544397,6.155431266779977e-14,21.619159698486328,2.456493616104126,144.46147298812866
PBE,PBE,4,RPA,NAO-VCC-3Z,3.0620306864886793,-14862.066987735845,-14854.814571479847,-4075.668009537687,-4068.4155932816884,5.6645073007177695e-15,21.461315631866455,2.5647833347320557,145.12206315994263
PBE,PBE,4,RPA,NAO-VCC-3Z,3.4620306864886787,-14862.033928106737,-14854.784650933741,-4075.770552241587,-4068.521275068589,6.684118614846968e-14,20.95596671104431,2.501143217086792,146.68863677978516
PBE,PBE,4,RPA,NAO-VCC-3Z,3.162030686488679,-14862.056500222398,-14854.805760197405,-4075.6879058380655,-4068.4371658130713,-1.661588808210546e-14,24.073693990707397,2.5420758724212646,144.34332156181335
PBE,PBE,4,RPA,NAO-VCC-3Z,4.2620306864886786,-14862.001489063427,-14854.754003516426,-4076.0064066804334,-4068.7589211334334,5.81556082873691e-14,17.44866704940796,2.5108022689819336,145.09467363357544
PBE,PBE,4,RPA,NAO-VCC-3Z,3.362030686488679,-14862.040325716109,-14854.790890120103,-4075.75078729939,-4068.5013517033844,1.6993521902153308e-14,18.419447660446167,2.509443998336792,141.37549138069153
PBE,PBE,4,RPA,NAO-VCC-3Z,0.0,-7430.996801975104,-7427.375803921105,-2039.4609928347854,-2035.8399947807866,5.098056570645992e-15,14.995091676712036,1.7999210357666016,27.48168158531189
PBE,PBE,4,RPA,NAO-VCC-4Z,0.0,-7432.452255525418,-7427.429117033456,-2040.9294773930142,-2035.906338901049,-5.211346716660348e-14,20.57606339454651,3.5350260734558105,88.40569829940796
PBE,PBE,4,RPA,NAO-VCC-5Z,0.0,-7433.013900862718,-7427.442286874704,-2041.5125763352244,-2035.9409623472152,-1.8268036044814806e-13,44.906113386154175,6.57555365562439,265.04906392097473
PBE,PBE,4,RPA,NAO-VCC-4Z,1.9620306864886794,-14865.123522114403,-14855.065670153417,-4078.0718835520647,-4068.0140315910776,-8.383470805062299e-14,44.66861701011658,7.712583780288696,525.255937576294
PBE,PBE,4,RPA,NAO-VCC-4Z,1.2620306864886794,-14864.347338323254,-14854.311673808248,-4076.137431490626,-4066.1017669756247,-1.0951380781387688e-13,45.865235805511475,11.671752691268921,520.3164532184601
PBE,PBE,4,RPA,NAO-VCC-4Z,1.3620306864886795,-14864.674563120774,-14854.633338052827,-4076.7065386916092,-4066.665313623653,-3.7008114364689427e-13,45.02820086479187,7.027228116989136,527.5748188495636
PBE,PBE,4,RPA,NAO-VCC-4Z,1.4620306864886796,-14864.879771303697,-14854.833434632706,-4077.1222263765458,-4067.0758897055666,-2.6207787111320883e-13,45.495871782302856,7.821133613586426,547.2919566631317
PBE,PBE,4,RPA,NAO-VCC-4Z,1.7620306864886794,-14865.110701340522,-14855.055431981498,-4077.835848164412,-4067.780578805382,7.779256692985737e-14,47.36339449882507,11.52699875831604,543.0374462604523
PBE,PBE,4,RPA,NAO-VCC-4Z,1.6620306864886796,-14865.074570611905,-14855.021697725924,-4077.6641412277913,-4067.611268341816,3.1834531030033866e-13,44.603814363479614,10.32998514175415,548.7403845787048
PBE,PBE,4,RPA,NAO-VCC-4Z,1.5620306864886795,-14865.00391385291,-14854.953799238887,-4077.431444853576,-4067.3813302395497,-4.2294987845359347e-13,50.22084164619446,8.33111047744751,545.889030456543
PBE,PBE,4,RPA,NAO-VCC-4Z,1.8620306864886793,-14865.12440002625,-14855.067327911285,-4077.965919035835,-4067.9088469208755,2.5074885651177324e-13,46.462323904037476,8.703251838684082,552.5201570987701
PBE,PBE,4,RPA,NAO-VCC-4Z,2.5620306864886793,-14865.036227501167,-14854.97713935415,-4078.4082150144113,-4068.349126867396,-1.684246837413417e-13,37.968053579330444,5.841648817062378,532.1558983325958
PBE,PBE,4,RPA,NAO-VCC-4Z,2.262030686488679,-14865.084830231934,-14855.025724603895,-4078.280409657643,-4068.2213040296065,2.639660402134481e-13,38.983295917510986,6.1136674880981445,536.3784778118134
PBE,PBE,4,RPA,NAO-VCC-4Z,2.6620306864886794,-14865.02206886533,-14854.962764087344,-4078.447128598198,-4068.387823820216,-1.6313781026067176e-13,37.954952239990234,5.815475702285767,540.503545999527
PBE,PBE,4,RPA,NAO-VCC-4Z,2.7620306864886794,-14865.00843174456,-14854.949627889493,-4078.482829461008,-4068.424025605931,-3.7952198914809054e-13,37.94521427154541,5.827385663986206,541.7288866043091
PBE,PBE,4,RPA,NAO-VCC-4Z,2.362030686488679,-14865.068280251564,-14855.009017378577,-4078.326660693776,-4068.267397820792,-3.4213624096335327e-13,38.974843978881836,6.0483598709106445,542.428736448288
PBE,PBE,4,RPA,NAO-VCC-4Z,2.16203068648868,-14865.100398311513,-14855.041869223522,-4078.2188495561486,-4068.1603204681523,-5.075398541443122e-13,39.24761247634888,6.085439205169678,543.4006073474884
PBE,PBE,4,RPA,NAO-VCC-4Z,2.462030686488679,-14865.051142366106,-14854.992645937138,-4078.372747840838,-4068.31425141186,5.324636862674703e-13,38.457438468933105,5.908750534057617,545.6726322174072
